ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,shares,net_pnl,profit_pct,entry_score,exit_reason,entry_season,exit_season
000927.SZ,2026-03-31,2026-04-17,12,3.34,2.9,29900,-13716,-13.17,72.9,STOP_LOSS,chaos_autumn,chaos_spring
000729.SZ,2026-02-05,2026-04-20,45,12.8,12.81,7800,-521,0.08,69.7,MAX_HOLD,chaos,chaos_spring
688331.SH,2026-04-01,2026-04-29,19,144.0,131.0,600,-8295,-9.03,76.0,SCORE_DROP,chaos_autumn,summer
600066.SH,2026-03-23,2026-05-15,35,31.41,32.79,3100,3681,4.39,71.2,SCORE_DROP,chaos_autumn,chaos_spring
600118.SH,2026-04-20,2026-05-19,18,94.52,87.23,1000,-7835,-7.71,86.5,SCORE_DROP,chaos_spring,chaos
688048.SH,2026-03-20,2026-05-21,40,203.14,356.97,400,60860,75.73,72.9,SCORE_DROP,chaos,chaos
600522.SH,2026-04-03,2026-05-26,33,30.67,40.48,3200,30709,31.99,71.1,SCORE_DROP,chaos,chaos_spring
300502.SZ,2026-03-19,2026-05-27,45,440.4,695.0,200,50239,57.81,78.6,MAX_HOLD,chaos,chaos_spring
688313.SH,2026-04-02,2026-05-27,35,92.8,155.0,1000,61457,67.03,78.1,SCORE_DROP,chaos,chaos_spring
688037.SH,2026-05-21,2026-05-29,6,285.15,245.3,300,-12432,-13.98,83.8,STOP_LOSS,chaos,chaos_spring
688072.SH,2026-03-24,2026-06-01,45,357.9,583.35,200,44525,62.99,70.8,MAX_HOLD,chaos_autumn,chaos_spring
300602.SZ,2026-05-26,2026-06-05,8,46.79,40.79,2100,-13152,-12.82,83.8,STOP_LOSS,chaos_spring,chaos_spring
688362.SH,2026-04-17,2026-06-08,33,48.2,52.58,2000,8155,9.09,85.3,SCORE_DROP,chaos_spring,chaos_spring
000729.SZ,2026-06-01,2026-06-08,5,12.99,11.46,7600,-12185,-11.78,77.0,SCORE_DROP,chaos_spring,chaos_spring
002281.SZ,2026-04-03,2026-06-11,45,90.39,205.4,1100,125535,127.24,68.8,MAX_HOLD,chaos,chaos
300502.SZ,2026-05-27,2026-06-11,11,695.0,526.0,100,-17266,-24.32,78.8,STOP_LOSS,chaos_spring,chaos
601100.SH,2026-06-08,2026-06-24,11,119.77,109.97,800,-8391,-8.18,79.1,SCORE_DROP,chaos_spring,chaos
600961.SH,2026-06-24,2026-07-03,7,35.71,29.99,2800,-16568,-16.02,95.9,STOP_LOSS,chaos,chaos
300223.SZ,2026-04-29,2026-07-07,45,125.32,231.2,700,73367,84.49,83.7,MAX_HOLD,summer,chaos
300037.SZ,2026-05-27,2026-07-13,32,74.72,67.41,1300,-10057,-9.78,82.8,SCORE_DROP,chaos_spring,chaos
002916.SZ,2026-05-29,2026-07-13,30,411.41,393.59,200,-4047,-4.33,76.6,SCORE_DROP,chaos_spring,chaos
300260.SZ,2026-06-05,2026-07-13,25,64.29,79.52,1500,22198,23.69,79.2,SCORE_DROP,chaos_spring,chaos
000725.SZ,2026-06-08,2026-07-13,24,6.29,6.83,15800,7910,8.59,76.8,SCORE_DROP,chaos_spring,chaos
300900.SZ,2026-07-03,2026-07-13,6,41.47,34.32,2400,-17706,-17.24,93.3,STOP_LOSS,chaos,chaos
000021.SZ,2026-05-19,2026-07-15,40,37.67,47.26,2600,24272,25.46,86.9,SCORE_DROP,chaos,chaos
688362.SH,2026-07-07,2026-07-15,6,102.54,85.6,900,-15754,-16.52,90.7,STOP_LOSS,chaos,chaos
600118.SH,2026-07-13,2026-07-15,2,91.26,73.92,1000,-17836,-19.0,83.3,STOP_LOSS,chaos,chaos
688082.SH,2026-06-11,2026-07-16,24,284.0,322.47,300,10995,13.55,84.8,SCORE_DROP,chaos,chaos
688072.SH,2026-07-13,2026-07-16,3,845.0,722.0,100,-12770,-14.56,79.1,STOP_LOSS,chaos,chaos
000048.SZ,2026-06-11,2026-07-17,25,19.61,18.62,5000,-5523,-5.05,85.3,SCORE_DROP,chaos,chaos_autumn
688037.SH,2026-07-13,2026-07-17,4,378.0,310.59,200,-13895,-17.83,74.3,STOP_LOSS,chaos,chaos_autumn
002371.SZ,2026-05-15,2026-07-20,45,592.0,676.91,100,8110,14.34,86.0,MAX_HOLD,chaos_spring,chaos
002156.SZ,2026-07-13,2026-07-20,5,73.57,63.0,1300,-14274,-14.37,71.7,STOP_LOSS,chaos,chaos
000938.SZ,2026-07-13,2026-07-21,7,38.4,41.46,2600,7333,7.97,70.5,FORCE_CLOSE,chaos,chaos
000415.SZ,2026-07-15,2026-07-21,5,4.45,4.23,22400,-5511,-4.94,83.2,FORCE_CLOSE,chaos,chaos
000729.SZ,2026-07-15,2026-07-21,5,11.66,12.4,8500,5676,6.35,83.2,FORCE_CLOSE,chaos,chaos
300759.SZ,2026-07-15,2026-07-21,5,40.3,39.36,2400,-2830,-2.33,82.5,FORCE_CLOSE,chaos,chaos
600066.SH,2026-07-16,2026-07-21,4,30.08,31.48,3300,4011,4.65,85.8,FORCE_CLOSE,chaos,chaos_autumn
600882.SH,2026-07-16,2026-07-21,4,22.11,21.42,4500,-3693,-3.12,79.8,FORCE_CLOSE,chaos,chaos_autumn
601857.SH,2026-07-17,2026-07-21,3,10.29,10.67,9700,3076,3.69,75.8,FORCE_CLOSE,chaos_autumn,chaos_autumn
000895.SZ,2026-07-17,2026-07-21,3,24.6,24.79,4000,167,0.77,75.5,FORCE_CLOSE,chaos_autumn,chaos
600519.SH,2026-07-20,2026-07-21,2,1327.5,1308.0,900,-24666,-1.47,67.3,FORCE_CLOSE,chaos_autumn,chaos_autumn
601288.SH,2026-07-20,2026-07-21,2,6.61,6.43,11800,-2586,-2.72,65.7,FORCE_CLOSE,chaos_autumn,chaos_autumn
